BLOCK_NUMBER,TRACE_INDEX,TIME,AMOUNT
11649003,36,2021-01-13 20:51:22.000,26.74706275
11649002,126,2021-01-13 20:51:17.000,26.74706275
11649002,115,2021-01-13 20:51:17.000,0
11649002,66,2021-01-13 20:51:17.000,26.74706275
11649002,146,2021-01-13 20:51:17.000,26.74706275
11649003,25,2021-01-13 20:51:22.000,26.74706275
11649003,113,2021-01-13 20:51:22.000,26.74706275
11649002,195,2021-01-13 20:51:17.000,0
11649003,128,2021-01-13 20:51:22.000,0
11649003,80,2021-01-13 20:51:22.000,26.74706275
11649002,46,2021-01-13 20:51:17.000,26.74706275
11649003,47,2021-01-13 20:51:22.000,26.74706275
11649002,95,2021-01-13 20:51:17.000,0
11649003,134,2021-01-13 20:51:22.000,0
11649002,55,2021-01-13 20:51:17.000,0
11649002,6,2021-01-13 20:51:17.000,26.74706275
11649003,58,2021-01-13 20:51:22.000,26.74706275
11649002,75,2021-01-13 20:51:17.000,0
11649002,186,2021-01-13 20:51:17.000,26.74706275
11649002,86,2021-01-13 20:51:17.000,26.74706275
11649002,26,2021-01-13 20:51:17.000,26.74706275
11649003,8,2021-01-13 20:51:22.000,0
11649003,69,2021-01-13 20:51:22.000,26.74706275
11649002,106,2021-01-13 20:51:17.000,26.74706275
11649002,155,2021-01-13 20:51:17.000,0
11649002,175,2021-01-13 20:51:17.000,0
11649002,135,2021-01-13 20:51:17.000,0
11649002,15,2021-01-13 20:51:17.000,0
11649003,14,2021-01-13 20:51:22.000,26.74706275
11649003,102,2021-01-13 20:51:22.000,26.74706275
11649002,166,2021-01-13 20:51:17.000,26.74706275
11649002,35,2021-01-13 20:51:17.000,0
11649003,91,2021-01-13 20:51:22.000,26.74706275
ï»¿